Truck_id,dist,delay_count,Total Time
Truck-390,31,6,369.576
Truck-391,15,2,339.216
Truck-392,29,5,364.96
Truck-393,17,3,351.288
Truck-394,43,8,396.952
Truck-395,21,5,358.504
Truck-396,19,4,347.488
Truck-397,35,4,370.736
Truck-398,35,8,379.888
Truck-399,25,5,357.048
Truck-400,37,7,380.144
Truck-401,19,4,350.64
Truck-402,21,5,355.36
Truck-403,29,5,366.048
Truck-404,37,5,374.128
Truck-405,21,5,353.528
Truck-406,35,8,378.544
Truck-407,15,2,339.672
Truck-408,23,4,357.128
Truck-409,21,5,350.488
Truck-410,57,11,416.56
Truck-411,15,2,339.576
Truck-412,29,5,362.48
Truck-413,17,3,344.272
Truck-414,37,9,381.536
Truck-415,31,6,371.296
Truck-416,19,4,346.568
Truck-417,35,4,372.248
Truck-418,33,7,375.288
Truck-419,33,5,369.336
Truck-420,37,7,381.232
Truck-421,27,6,362.344
Truck-422,31,6,371.448
Truck-423,47,10,405.136
Truck-424,37,5,375.192
Truck-425,21,5,355.08
Truck-426,27,4,365.28
Truck-427,15,2,339.768
Truck-428,23,4,357.24
Truck-429,21,5,350.808
Truck-430,31,6,372.296
Truck-431,15,2,339.552
Truck-432,29,5,362.392
Truck-433,17,3,344.328
Truck-434,43,8,392.784
Truck-435,21,5,354.08
Truck-436,19,4,347.128
Truck-437,35,4,375.496
Truck-438,33,7,377.528
Truck-439,37,5,380.896
Truck-440,37,7,381.144
Truck-441,27,6,359.152
Truck-442,21,5,355.528
Truck-443,47,10,405.552
Truck-444,37,5,376.488
Truck-445,21,5,353.952
Truck-446,27,4,361.92
Truck-447,15,2,338.856
Truck-448,23,4,356.568
Truck-449,21,5,350.776
Truck-450,31,6,369.272
Truck-451,15,2,341.832
Truck-452,29,5,361.952
Truck-453,17,3,344.336
Truck-454,43,8,391.288
Truck-455,21,5,353.496
Truck-456,19,4,346.096
Truck-457,35,4,370.576
Truck-458,33,7,375.608
Truck-459,37,5,381.352
Truck-460,37,7,380.96
Truck-461,19,4,351.352
Truck-462,21,5,357.216
Truck-463,47,10,405.336
Truck-464,37,5,375.568
Truck-465,21,5,361.44
Truck-466,27,4,362.552
Truck-467,15,2,339.704
Truck-468,23,4,357.896
Truck-469,21,5,355.184
Truck-470,49,7,403.032
Truck-471,15,2,340.312
Truck-472,29,5,362.448
Truck-473,17,3,344.288
Truck-474,43,8,391.848
Truck-475,21,5,356.248
Truck-476,19,4,350.84
Truck-477,35,4,374.072
Truck-478,33,7,375.544
Truck-479,27,6,362.784
Truck-480,27,6,366.856
Truck-481,25,5,355.624
Truck-482,21,5,355.768
Truck-483,37,9,381.264
Truck-484,37,5,373.976
Truck-485,31,6,368.856
Truck-486,27,4,362.152
Truck-487,25,3,355.04
Truck-488,23,4,357.264
Truck-489,21,5,351.752
Truck-490,31,6,369.272
Truck-491,15,2,338.528
Truck-492,29,5,364.76
Truck-493,17,3,343.632
Truck-494,43,8,398.12
Truck-495,21,5,353.6
Truck-496,19,4,346.248
Truck-497,35,4,370.192
Truck-498,35,8,380.936
Truck-499,45,9,396.928
Truck-500,37,7,380.32
Truck-501,19,4,351.208
Truck-502,21,5,356.456
Truck-503,47,10,405.576
Truck-504,37,5,383.432
Truck-505,21,5,354.992
Truck-506,27,4,362.456
Truck-507,15,2,339.592
Truck-508,23,4,357.272
Truck-509,21,5,351.0
Truck-510,49,7,407.744
Truck-511,15,2,339.224
Truck-512,29,5,361.496
Truck-513,17,3,344.592
Truck-514,43,8,391.624
Truck-515,21,5,354.632
Truck-516,19,4,347.128
Truck-517,35,4,375.592
Truck-518,33,7,376.176
Truck-519,27,6,362.184
Truck-520,37,7,381.808
Truck-521,45,9,398.656
Truck-522,21,5,355.296
Truck-523,37,9,380.888
Truck-524,37,5,374.688
Truck-525,21,5,353.784
Truck-526,27,4,361.768
Truck-527,15,2,341.552
Truck-528,37,7,382.976
Truck-529,21,5,351.4
Truck-530,31,6,371.04
Truck-531,15,2,338.592
Truck-532,29,5,369.088
Truck-533,17,3,342.992
Truck-534,37,9,384.152
Truck-535,17,3,345.656
Truck-536,19,4,346.776
Truck-537,35,4,372.784
Truck-538,41,7,397.504
Truck-539,25,5,356.16
Truck-540,37,7,380.88
Truck-541,33,5,371.48
Truck-542,21,5,362.408
Truck-543,47,10,407.016
Truck-544,37,5,378.24
Truck-545,21,5,354.592
Truck-546,27,4,362.064
Truck-547,15,2,339.384
Truck-548,23,4,358.312
Truck-549,21,5,350.712
Truck-550,31,6,370.568
Truck-551,15,2,339.52
Truck-552,29,5,365.256
Truck-553,17,3,344.176
Truck-554,37,9,387.856
Truck-555,21,5,354.968
Truck-556,19,4,348.104
Truck-557,35,4,373.008
Truck-558,33,7,375.936
Truck-559,45,9,399.16
Truck-560,37,7,381.344
Truck-561,19,4,353.36
Truck-562,21,5,356.696
Truck-563,37,9,386.688
Truck-564,37,5,374.208
Truck-565,17,3,343.696
Truck-566,27,4,362.016
Truck-567,15,2,338.848
Truck-568,37,7,382.352
Truck-569,21,5,351.288
Truck-570,49,7,401.76
Truck-571,15,2,338.624
Truck-572,29,5,362.24
Truck-573,17,3,343.216
Truck-574,35,8,378.536
Truck-575,21,5,349.352
Truck-576,19,4,346.48
Truck-577,35,4,370.432
Truck-578,41,7,387.096
Truck-579,27,6,362.264
Truck-580,37,7,382.096
Truck-581,19,4,351.24
Truck-582,21,5,361.232
Truck-583,47,10,408.464
Truck-584,37,5,378.704
Truck-585,17,3,347.928
Truck-586,27,4,363.168
Truck-587,15,2,339.536
Truck-588,27,6,358.976
Truck-589,21,5,354.592
Truck-590,57,11,419.088
Truck-591,15,2,339.144
Truck-592,29,5,361.768
Truck-593,17,3,344.848
Truck-594,35,8,380.448
Truck-595,21,5,358.072
Truck-596,19,4,347.32
Truck-597,35,4,370.952
Truck-598,41,7,397.176
Truck-599,27,6,362.744
Truck-600,27,6,364.88
Truck-601,27,6,362.248
Truck-602,21,5,355.584
Truck-603,29,5,366.408
Truck-604,37,5,382.136
Truck-605,21,5,348.936
Truck-606,45,9,399.592
Truck-607,25,3,356.656
Truck-608,27,6,362.184
Truck-609,21,5,350.304
Truck-610,35,4,370.768
Truck-611,15,2,343.24
Truck-612,29,5,362.248
Truck-613,17,3,343.088
Truck-614,43,8,391.248
Truck-615,17,3,343.632
Truck-616,19,4,346.248
Truck-617,49,7,398.456
Truck-618,33,7,375.56
Truck-619,19,4,350.848
Truck-620,37,7,382.0
Truck-621,27,6,366.776
Truck-622,21,5,359.952
Truck-623,29,5,367.336
Truck-624,37,5,375.048
Truck-625,21,5,353.536
Truck-626,45,9,401.64
Truck-627,15,2,339.84
Truck-628,23,4,358.368
Truck-629,21,5,351.168
Truck-630,31,6,369.712
Truck-631,15,2,340.952
Truck-632,29,5,362.864
Truck-633,17,3,344.728
Truck-634,43,8,393.064
Truck-635,21,5,349.584
Truck-636,19,4,346.448
Truck-637,35,4,370.144
Truck-638,33,7,376.24
Truck-639,45,9,399.448
Truck-640,37,7,380.256
Truck-641,19,4,351.784
Truck-642,21,5,363.672
Truck-643,29,5,367.928
Truck-644,37,5,374.288
Truck-645,17,3,343.496
Truck-646,35,8,382.128
Truck-647,15,2,341.88
Truck-648,37,7,382.184
Truck-649,21,5,350.208
Truck-650,49,7,397.576
Truck-651,15,2,338.728
Truck-652,29,5,361.792
Truck-653,17,3,343.672
Truck-654,35,8,378.72
Truck-655,21,5,349.704
Truck-656,19,4,347.312
Truck-657,35,4,372.928
Truck-658,41,7,387.536
Truck-659,27,6,364.2
Truck-660,37,7,383.096
Truck-661,19,4,351.312
Truck-662,21,5,360.512
Truck-663,29,5,367.008
Truck-664,37,5,380.872
Truck-665,17,3,345.168
Truck-666,35,8,382.912
Truck-667,15,2,339.72
Truck-668,37,7,382.92
Truck-669,21,5,351.344
Truck-670,57,11,418.968
Truck-671,15,2,339.584
Truck-672,29,5,362.296
Truck-673,17,3,344.648
Truck-674,35,8,381.4
Truck-675,21,5,349.704
Truck-676,19,4,352.152
Truck-677,35,4,370.664
Truck-678,41,7,389.696
Truck-679,27,6,362.648
Truck-680,37,7,382.936
Truck-681,33,5,369.136
Truck-682,21,5,355.64
Truck-683,29,5,366.432
Truck-684,37,5,374.264
Truck-685,17,3,343.56
Truck-686,45,9,401.576
Truck-687,15,2,338.872
Truck-688,27,6,362.144
Truck-689,21,5,350.496
Truck-690,35,4,373.04
Truck-691,15,2,343.136
Truck-692,33,7,383.056
Truck-693,17,3,344.36
Truck-694,35,8,380.72
Truck-695,21,5,349.952
Truck-696,19,4,346.376
Truck-697,31,6,371.448
Truck-698,35,8,381.312
Truck-699,37,5,379.16
Truck-700,37,7,384.688
Truck-701,33,5,369.568
Truck-702,21,5,357.6
Truck-703,29,5,367.328
Truck-704,37,5,375.08
Truck-705,17,3,344.656
Truck-706,45,9,404.768
Truck-707,15,2,339.224
Truck-708,27,6,362.736
Truck-709,21,5,351.376
Truck-710,35,4,371.896
Truck-711,15,2,339.192
Truck-712,29,5,362.392
Truck-713,17,3,344.112
Truck-714,35,8,379.656
Truck-715,21,5,349.912
Truck-716,19,4,347.896
Truck-717,31,6,371.592
Truck-718,35,8,381.832
Truck-719,45,9,398.296
