Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-14,Route-14,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,342.544,0.03101211,2.836267,6.768,30.736,,,443.52,501.88,501.88,0.1237301,0.3892706,0.2712526
Truck-5,Route-5,(175.0 0.0 205.5),(125.0 0.0 150.0),341.2643,345.48,0.1021633,3.032001,6.776,33.664
Truck-121,Route-121,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,357.616,0.2846759,3.389176,9.584,43.024
Truck-122,Route-122,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,359.88,0.1511541,2.851429,9.584,39.288
Truck-116,Route-116,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,365.368,0.2566575,3.112762,9.592,50.752
Truck-124,Route-124,(175.0 0.0 194.5),(125.0 0.0 100.0),355.6017,372.552,0.3048519,3.154435,21.736,39.8
Truck-107,Route-107,(675.0 0.0 -5.5),(375.0 0.0 150.0),366.3548,373.432,0.1066576,2.532138,36.168,32.24
Truck-109,Route-109,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,375.28,0.1992911,2.788148,7.136,63.216
Truck-120,Route-120,(675.0 0.0 205.5),(125.0 0.0 50.0),366.3548,375.536,0.138366,2.60469,9.592,54.928
Truck-111,Route-111,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,379.376,0.1349301,2.560516,7.128,67.296
Truck-106,Route-106,(175.0 0.0 194.5),(625.0 0.0 0.0),362.7704,379.824,0.2716819,2.956445,16.696,52.136
Truck-118,Route-118,(425.0 0.0 205.5),(625.0 0.0 50.0),366.3548,385.16,0.2834045,2.936552,9.584,64.584
Truck-119,Route-119,(425.0 0.0 155.5),(375.0 0.0 50.0),369.9391,387.048,0.2446254,2.808,33.456,45.504
Truck-115,Route-115,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,402.032,0.7239195,4.081281,9.48,87.528
Truck-110,Route-110,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,448.632,1.239959,5.125241,7.136,136.52
Truck-101,Route-101,(675.0 0.0 155.5),(125.0 0.0 200.0),366.3548,463.136,1.458542,5.625379,32.224,125.832
Truck-114,Route-114,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,471.6,1.036154,4.4,7.128,159.504
Truck-112,Route-112,(175.0 0.0 105.5),(125.0 0.0 100.0),369.9391,472.704,1.469348,5.571097,39.24,122.464
Truck-117,Route-117,(175.0 0.0 55.5),(625.0 0.0 0.0),398.614,501.88,1.047175,4.295319,50,140.856
