File_name,Type,Objective_value,C_max,C_avg,Timeline
prev_Truck_20_LP_40_50_10_6rep.csv,Min,32129,410.776,374.9764,
now_Truck_20_LP_40_50_10_6rep.csv,Min,27092,418.072,373.2372,
prev_Truck_20_LP_0_0_100_6rep.csv,Middle,89400,470.96,414.2428,
now_Truck_20_LP_0_0_100_6rep.csv,Middle,93200,484.216,419.854,
prev_Truck_20_LP_40_50_10_6rep.csv,Middle,47946,456.496,407.506,
now_Truck_20_LP_40_50_10_6rep.csv,Middle,47255,492.064,421.9092,
prev_Truck_20_LP_0_0_100_6rep.csv,Max,103200,468.52,423.5064,
now_Truck_20_LP_0_0_100_6rep.csv,Max,108600,503.112,435.3676,
prev_Truck_20_LP_40_50_10_6rep.csv,Max,54356,507.832,423.6428,
now_Truck_20_LP_40_50_10_6rep.csv,Max,55624,483.52,430.6596,
prev_Truck_20_LP_0_0_100_7rep.csv,Min,67200,428.432,389.8488,
now_Truck_20_LP_0_0_100_7rep.csv,Min,65800,451.224,386.574,
prev_Truck_20_LP_40_50_10_7rep.csv,Min,38182,428.592,391.2124,
now_Truck_20_LP_40_50_10_7rep.csv,Min,34605,431.848,385.676,
prev_Truck_20_LP_0_0_100_7rep.csv,Middle,102400,502.728,428.0652,
now_Truck_20_LP_0_0_100_7rep.csv,Middle,102600,491.176,439.0532,
prev_Truck_20_LP_40_50_10_7rep.csv,Middle,54235,487.624,426.1152,
now_Truck_20_LP_40_50_10_7rep.csv,Middle,52659,502.88,448.5244,
prev_Truck_20_LP_0_0_100_7rep.csv,Max,115000,512.92,448.7264,
now_Truck_20_LP_0_0_100_7rep.csv,Max,117200,526.08,458.5168,
prev_Truck_20_LP_40_50_10_7rep.csv,Max,60784,516.336,457.2432,
now_Truck_20_LP_40_50_10_7rep.csv,Max,57410,513.824,459.6852,
prev_Truck_20_LP_0_0_100_8rep.csv,Min,59800,424.384,386.85,
now_Truck_20_LP_0_0_100_8rep.csv,Min,58800,459.92,386.7628,
prev_Truck_20_LP_40_50_10_8rep.csv,Min,34374,419.64,385.6288,
now_Truck_20_LP_40_50_10_8rep.csv,Min,28708,466.832,386.6352,
prev_Truck_20_LP_0_0_100_8rep.csv,Middle,100000,448.992,419.714,
now_Truck_20_LP_0_0_100_8rep.csv,Middle,98600,493.2,431.8412,
prev_Truck_20_LP_40_50_10_8rep.csv,Middle,52872,446.664,414.506,
now_Truck_20_LP_40_50_10_8rep.csv,Middle,50956,505.904,430.0388,
prev_Truck_20_LP_0_0_100_8rep.csv,Max,113800,475.872,441.0504,
now_Truck_20_LP_0_0_100_8rep.csv,Max,113200,526.472,464.248,
prev_Truck_20_LP_40_50_10_8rep.csv,Max,61555,484.312,430.1184,
now_Truck_20_LP_40_50_10_8rep.csv,Max,59065,516.744,451.3584,
prev_Truck_20_LP_0_0_100_9rep.csv,Min,61600,422.968,377.5232,
now_Truck_20_LP_0_0_100_9rep.csv,Min,60400,424.496,370.3872,
prev_Truck_20_LP_40_50_10_9rep.csv,Min,34267,398.32,374.5036,
now_Truck_20_LP_40_50_10_9rep.csv,Min,31006,406.8,374.6804,
prev_Truck_20_LP_0_0_100_9rep.csv,Middle,96200,458.184,412.408,
now_Truck_20_LP_0_0_100_9rep.csv,Middle,89200,460.696,409.8644,
prev_Truck_20_LP_40_50_10_9rep.csv,Middle,51919,452.112,411.9736,
now_Truck_20_LP_40_50_10_9rep.csv,Middle,46813,464.208,408.884,
prev_Truck_20_LP_0_0_100_9rep.csv,Max,114600,503.968,434.3172,
now_Truck_20_LP_0_0_100_9rep.csv,Max,104200,486.856,428.2168,
prev_Truck_20_LP_40_50_10_9rep.csv,Max,60152,507.456,427.7944,
now_Truck_20_LP_40_50_10_9rep.csv,Max,52352,477.472,429.1168,
prev_Truck_20_LP_0_0_100_10rep.csv,Min,59000,420.184,374.0412,
now_Truck_20_LP_0_0_100_10rep.csv,Min,59200,432.36,379.7208,
prev_Truck_20_LP_40_50_10_10rep.csv,Min,34613,435.208,377.2996,
now_Truck_20_LP_40_50_10_10rep.csv,Min,31526,453.24,381.8132,
prev_Truck_20_LP_0_0_100_10rep.csv,Middle,99400,468.424,421.8348,
now_Truck_20_LP_0_0_100_10rep.csv,Middle,100200,486.6,426.0056,
prev_Truck_20_LP_40_50_10_10rep.csv,Middle,52890,454.312,413.8748,
now_Truck_20_LP_40_50_10_10rep.csv,Middle,47376,481.56,422.41,
prev_Truck_20_LP_0_0_100_10rep.csv,Max,111000,487.432,433.1844,
now_Truck_20_LP_0_0_100_10rep.csv,Max,114200,512.512,448.3916,
prev_Truck_20_LP_40_50_10_10rep.csv,Max,61093,481.896,436.1564,
now_Truck_20_LP_40_50_10_10rep.csv,Max,55531,505.224,442.9564,
prev_Truck_20_LP_0_0_100_11rep.csv,Min,61400,439.76,385.1736,
now_Truck_20_LP_0_0_100_11rep.csv,Min,62200,430.76,373.0844,
prev_Truck_20_LP_40_50_10_11rep.csv,Min,35932,431.44,381.8796,
now_Truck_20_LP_40_50_10_11rep.csv,Min,32778,458.488,381.3596,
prev_Truck_20_LP_0_0_100_11rep.csv,Middle,97600,511.408,425.1324,
now_Truck_20_LP_0_0_100_11rep.csv,Middle,99000,457.024,401.4848,
prev_Truck_20_LP_40_50_10_11rep.csv,Middle,52681,456.616,416.6324,
now_Truck_20_LP_40_50_10_11rep.csv,Middle,50709,467.432,408.4464,
prev_Truck_20_LP_0_0_100_11rep.csv,Max,110600,482.4,436.1644,
now_Truck_20_LP_0_0_100_11rep.csv,Max,115800,465.632,420.198,
prev_Truck_20_LP_40_50_10_11rep.csv,Max,60939,475.352,437.8336,
now_Truck_20_LP_40_50_10_11rep.csv,Max,58297,481.264,419.7846,
prev_Truck_20_LP_0_0_100_12rep.csv,Min,60000,402.84,371.156,
now_Truck_20_LP_0_0_100_12rep.csv,Min,60000,422.664,371.9448,
prev_Truck_20_LP_40_50_10_12rep.csv,Min,34819,417.848,373.3584,
now_Truck_20_LP_40_50_10_12rep.csv,Min,28806,429.92,370.888,
prev_Truck_20_LP_0_0_100_12rep.csv,Middle,94000,447.616,414.6928,
now_Truck_20_LP_0_0_100_12rep.csv,Middle,94600,508.992,417.846,
prev_Truck_20_LP_40_50_10_12rep.csv,Middle,50558,461.152,412.89,
now_Truck_20_LP_40_50_10_12rep.csv,Middle,49197,490.688,415.3328,
prev_Truck_20_LP_0_0_100_12rep.csv,Max,108000,497.048,434.84,
now_Truck_20_LP_0_0_100_12rep.csv,Max,110400,511.992,430.9604,
prev_Truck_20_LP_40_50_10_12rep.csv,Max,59323,479.984,427.0752,
now_Truck_20_LP_40_50_10_12rep.csv,Max,55479,508.088,426.082,
prev_Truck_20_LP_0_0_100_13rep.csv,Min,59400,397.224,371.9524,
now_Truck_20_LP_0_0_100_13rep.csv,Min,59800,402.016,367.3656,
prev_Truck_20_LP_40_50_10_13rep.csv,Min,33564,412,372.2328,
now_Truck_20_LP_40_50_10_13rep.csv,Min,29441,402.728,365.0556,
prev_Truck_20_LP_0_0_100_13rep.csv,Middle,97400,454.92,422.8036,
now_Truck_20_LP_0_0_100_13rep.csv,Middle,101000,447.976,406.7324,
prev_Truck_20_LP_40_50_10_13rep.csv,Middle,52352,443.792,411.358,
now_Truck_20_LP_40_50_10_13rep.csv,Middle,52349,451.696,404.8264,
prev_Truck_20_LP_0_0_100_13rep.csv,Max,115600,468.856,425.3428,
now_Truck_20_LP_0_0_100_13rep.csv,Max,119600,500.968,423.3084,
prev_Truck_20_LP_40_50_10_13rep.csv,Max,62202,494.6,434.1888,
now_Truck_20_LP_40_50_10_13rep.csv,Max,60155,583.304,432.6648,
prev_Truck_20_LP_0_0_100_14rep.csv,Min,61800,423.688,380.1936,
now_Truck_20_LP_0_0_100_14rep.csv,Min,58600,459.704,384.6616,
prev_Truck_20_LP_40_50_10_14rep.csv,Min,34276,434.216,382.8264,
now_Truck_20_LP_40_50_10_14rep.csv,Min,31557,447.432,380.4736,
prev_Truck_20_LP_0_0_100_14rep.csv,Middle,103200,451.752,412.6456,
now_Truck_20_LP_0_0_100_14rep.csv,Middle,99400,486.392,423.7608,
prev_Truck_20_LP_40_50_10_14rep.csv,Middle,52469,443.096,411.7248,
now_Truck_20_LP_40_50_10_14rep.csv,Middle,48747,477.104,417.758,
prev_Truck_20_LP_0_0_100_14rep.csv,Max,119000,478,432.5484,
now_Truck_20_LP_0_0_100_14rep.csv,Max,111600,516.304,437.6836,
prev_Truck_20_LP_40_50_10_14rep.csv,Max,61280,476.88,431.3664,
now_Truck_20_LP_40_50_10_14rep.csv,Max,52190,493.312,431.05,
prev_Truck_20_LP_0_0_100_15rep.csv,Min,54200,420.024,381.7388,
now_Truck_20_LP_0_0_100_15rep.csv,Min,67000,453.28,384.5184,
prev_Truck_20_LP_40_50_10_15rep.csv,Min,29711,430.312,376.0012,
now_Truck_20_LP_40_50_10_15rep.csv,Min,33683,442.208,380.8192,
prev_Truck_20_LP_0_0_100_15rep.csv,Middle,89400,491.344,424.4408,
now_Truck_20_LP_0_0_100_15rep.csv,Middle,99800,523.616,429.9404,
prev_Truck_20_LP_40_50_10_15rep.csv,Middle,46750,452.84,407.5608,
now_Truck_20_LP_40_50_10_15rep.csv,Middle,51110,488.952,426.1044,
prev_Truck_20_LP_0_0_100_15rep.csv,Max,105400,481.304,428.746,
now_Truck_20_LP_0_0_100_15rep.csv,Max,117000,485.192,439.9428,
prev_Truck_20_LP_40_50_10_15rep.csv,Max,54374,474.896,429.7544,
now_Truck_20_LP_40_50_10_15rep.csv,Max,58633,507.312,435.6812,
prev_Truck_20_LP_0_0_100_16rep.csv,Min,55200,426.104,385.6412,
now_Truck_20_LP_0_0_100_16rep.csv,Min,51200,402.992,368.044,
prev_Truck_20_LP_40_50_10_16rep.csv,Min,31623,428.24,382.652,
now_Truck_20_LP_40_50_10_16rep.csv,Min,25219,422.264,366.718,
prev_Truck_20_LP_0_0_100_16rep.csv,Middle,97200,485.104,424.0008,
now_Truck_20_LP_0_0_100_16rep.csv,Middle,88000,468.808,406.67,
prev_Truck_20_LP_40_50_10_16rep.csv,Middle,52434,479.216,424.7616,
now_Truck_20_LP_40_50_10_16rep.csv,Middle,43291,460.392,402.4124,
prev_Truck_20_LP_0_0_100_16rep.csv,Max,115800,487.88,440.5608,
now_Truck_20_LP_0_0_100_16rep.csv,Max,101800,489.424,416.9088,
prev_Truck_20_LP_40_50_10_16rep.csv,Max,60856,510.456,445.5252,
now_Truck_20_LP_40_50_10_16rep.csv,Max,52958,475.296,419.408,
prev_Truck_20_LP_0_0_100_17rep.csv,Min,59800,433.776,390.0816,
now_Truck_20_LP_0_0_100_17rep.csv,Min,52200,496.952,397.9328,
prev_Truck_20_LP_40_50_10_17rep.csv,Min,33706,419.128,384.4,
now_Truck_20_LP_40_50_10_17rep.csv,Min,26107,472.28,395.1552,
prev_Truck_20_LP_0_0_100_17rep.csv,Middle,97800,509.488,429.6904,
now_Truck_20_LP_0_0_100_17rep.csv,Middle,87000,511.28,429.7616,
prev_Truck_20_LP_40_50_10_17rep.csv,Middle,50311,454.368,417.326,
now_Truck_20_LP_40_50_10_17rep.csv,Middle,46210,464.824,422.2408,
prev_Truck_20_LP_0_0_100_17rep.csv,Max,110000,476.72,423.6032,
now_Truck_20_LP_0_0_100_17rep.csv,Max,104000,499.8,446.5396,
prev_Truck_20_LP_40_50_10_17rep.csv,Max,57845,471.456,422.9036,
now_Truck_20_LP_40_50_10_17rep.csv,Max,53560,499.08,438.4038,
prev_Truck_20_LP_0_0_100_18rep.csv,Min,58800,411.952,372.412,
now_Truck_20_LP_0_0_100_18rep.csv,Min,60600,399.28,370.59,
prev_Truck_20_LP_40_50_10_18rep.csv,Min,33670,403.16,373.0432,
now_Truck_20_LP_40_50_10_18rep.csv,Min,31531,428.84,372.4664,
prev_Truck_20_LP_0_0_100_18rep.csv,Middle,98400,471.504,410.3292,
now_Truck_20_LP_0_0_100_18rep.csv,Middle,101600,454.544,409.6236,
prev_Truck_20_LP_40_50_10_18rep.csv,Middle,53392,464.84,410.6528,
now_Truck_20_LP_40_50_10_18rep.csv,Middle,48335,466.976,410.8332,
prev_Truck_20_LP_0_0_100_18rep.csv,Max,116200,512.448,424.782,
now_Truck_20_LP_0_0_100_18rep.csv,Max,117800,515.712,429.6036,
prev_Truck_20_LP_40_50_10_18rep.csv,Max,60661,493.64,425.8832,
now_Truck_20_LP_40_50_10_18rep.csv,Max,58985,520.928,428.7748,
prev_Truck_20_LP_0_0_100_19rep.csv,Min,56600,446.648,386.6924,
now_Truck_20_LP_0_0_100_19rep.csv,Min,55000,435.632,372.038,
prev_Truck_20_LP_40_50_10_19rep.csv,Min,31201,459.136,390.2616,
now_Truck_20_LP_40_50_10_19rep.csv,Min,29648,440.416,371.212,
prev_Truck_20_LP_0_0_100_19rep.csv,Middle,95600,477.048,417.3984,
now_Truck_20_LP_0_0_100_19rep.csv,Middle,88600,450.488,405.224,
prev_Truck_20_LP_40_50_10_19rep.csv,Middle,49169,477.72,412.4276,
now_Truck_20_LP_40_50_10_19rep.csv,Middle,44628,455.52,410.268,
prev_Truck_20_LP_0_0_100_19rep.csv,Max,112400,519.768,443.798,
now_Truck_20_LP_0_0_100_19rep.csv,Max,104200,501.688,427.5584,
prev_Truck_20_LP_40_50_10_19rep.csv,Max,56993,510.736,445.9124,
now_Truck_20_LP_40_50_10_19rep.csv,Max,51653,480.072,425.3544,
prev_Truck_20_LP_0_0_100_20rep.csv,Min,64400,403.6,374.5616,
now_Truck_20_LP_0_0_100_20rep.csv,Min,57800,435.096,378.6764,
prev_Truck_20_LP_40_50_10_20rep.csv,Min,36958,402.432,373.3584,
now_Truck_20_LP_40_50_10_20rep.csv,Min,27338,409.2,373.5312,
prev_Truck_20_LP_0_0_100_20rep.csv,Middle,101800,466.704,418.0004,
now_Truck_20_LP_0_0_100_20rep.csv,Middle,98400,482.376,415.0324,
prev_Truck_20_LP_40_50_10_20rep.csv,Middle,52112,460.728,414.0596,
now_Truck_20_LP_40_50_10_20rep.csv,Middle,48319,465.496,414.0964,
prev_Truck_20_LP_0_0_100_20rep.csv,Max,112800,501.624,435.0436,
now_Truck_20_LP_0_0_100_20rep.csv,Max,115600,515.896,429.916,
prev_Truck_20_LP_40_50_10_20rep.csv,Max,59834,500.584,435.3116,
now_Truck_20_LP_40_50_10_20rep.csv,Max,62918,534.88,429.0408,
