Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-14,Route-14,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,339.944,-0.03199647,2.662933,6.888,28.056,,,431.112,423.2,431.112,0.1801295,0.2439364,0.2155778
Truck-5,Route-5,(175.0 0.0 205.5),(125.0 0.0 150.0),341.2643,347.096,0.1413254,3.139734,6.888,35.2
Truck-7,Route-7,(425.0 0.0 55.5),(125.0 0.0 100.0),373.5235,397.32,0.3236591,2.949091,38.648,41.584
Truck-19,Route-19,(425.0 0.0 -5.5),(375.0 0.0 50.0),391.4453,404.008,0.1373799,2.418791,41.28,54.672
Truck-2,Route-2,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,414.048,0.3532591,2.924308,6.896,102.144
Truck-3,Route-3,(425.0 0.0 155.5),(625.0 0.0 150.0),398.614,417.248,0.1889594,2.494638,29.992,82.144
Truck-17,Route-17,(175.0 0.0 155.5),(625.0 0.0 50.0),405.7827,431.112,0.2394471,2.570823,36.808,83.224
Truck-102,Route-102,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,343.768,0.06067453,2.917867,7.024,31.736
Truck-105,Route-105,(675.0 0.0 205.5),(625.0 0.0 150.0),341.2643,343.992,0.06610292,2.9328,7.016,31.976
Truck-109,Route-109,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,344.776,-0.001620168,2.633883,7.016,32.792
Truck-123,Route-123,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,349.72,0.1086172,2.924706,9.56,35.112
Truck-111,Route-111,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,354.168,0.04134455,2.579428,7.008,42.192
Truck-108,Route-108,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,354.928,0.2247413,3.231059,7.016,42.976
Truck-100,Route-100,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,355.416,0.1441779,2.916631,7.024,43.416
Truck-119,Route-119,(425.0 0.0 155.5),(125.0 0.0 200.0),359.1861,360.568,0.02334887,2.42272,28.088,27.472
Truck-120,Route-120,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,360.76,0.472459,4.050667,9.56,40.144
Truck-121,Route-121,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,363.072,0.4063293,3.710117,9.56,48.448
Truck-104,Route-104,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,364.232,0.2348183,3.058666,7.016,52.24
Truck-106,Route-106,(175.0 0.0 194.5),(375.0 0.0 150.0),352.0174,366.44,0.2772658,3.16381,16.656,29.688
Truck-113,Route-113,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,369.56,0.3372457,3.312381,7.008,57.552
Truck-115,Route-115,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,374.416,0.2573227,2.97664,9.568,59.808
Truck-124,Route-124,(175.0 0.0 194.5),(125.0 0.0 100.0),355.6017,375.152,0.3516131,3.267479,21.672,45.416
Truck-116,Route-116,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,378.616,0.5113414,3.743619,9.56,64
Truck-103,Route-103,(425.0 0.0 155.5),(375.0 0.0 50.0),369.9391,381.032,0.1586079,2.613936,29.912,40.08
Truck-118,Route-118,(425.0 0.0 205.5),(625.0 0.0 50.0),366.3548,383.704,0.2614619,2.886345,9.552,63.112
Truck-114,Route-114,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,384.944,0.007919759,2.178051,7.008,72.968
Truck-110,Route-110,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,393.328,0.4065003,3.218207,7.016,81.344
Truck-112,Route-112,(175.0 0.0 105.5),(125.0 0.0 100.0),369.9391,401.264,0.447888,3.266581,45.464,38.832
Truck-107,Route-107,(675.0 0.0 -5.5),(125.0 0.0 50.0),391.4453,401.464,0.10956,2.359628,37.152,59.296
Truck-122,Route-122,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,408.336,0.5490044,3.49471,9.552,93.736
Truck-101,Route-101,(675.0 0.0 155.5),(625.0 0.0 200.0),384.2766,417.344,0.3923683,3.00882,32.176,80.128
Truck-117,Route-117,(175.0 0.0 55.5),(625.0 0.0 0.0),398.614,423.2,0.2493162,2.621277,55.168,62.984
