File_name,Type,Objective_value,C_max,C_avg,Timeline
now_Truck_20_LP_40_50_10_11rep.csv,Middle,50709,483.352,419.2996,
prev_Truck_20_LP_0_0_100_11rep.csv,Max,110600,471.872,427.3252,
now_Truck_20_LP_0_0_100_11rep.csv,Max,115800,495.936,436.5496,
prev_Truck_20_LP_40_50_10_11rep.csv,Max,60939,502.776,432.5252,
now_Truck_20_LP_40_50_10_11rep.csv,Max,58297,531.048,441.1804,
prev_Truck_20_LP_0_0_100_12rep.csv,Min,60000,428.824,379.9276,
now_Truck_20_LP_0_0_100_12rep.csv,Min,60000,415.696,373.4836,
prev_Truck_20_LP_40_50_10_12rep.csv,Min,34819,417.872,381.302,
now_Truck_20_LP_40_50_10_12rep.csv,Min,28806,432.224,374.722,
prev_Truck_20_LP_0_0_100_12rep.csv,Middle,94000,467.72,417.5024,
now_Truck_20_LP_0_0_100_12rep.csv,Middle,94600,482.6,414.0976,
prev_Truck_20_LP_40_50_10_12rep.csv,Middle,50558,449.688,410.6796,
now_Truck_20_LP_40_50_10_12rep.csv,Middle,49197,475.16,413.4972,
prev_Truck_20_LP_0_0_100_12rep.csv,Max,108000,609.776,519.26,
now_Truck_20_LP_0_0_100_12rep.csv,Max,110400,539.28,464.1188,
prev_Truck_20_LP_40_50_10_12rep.csv,Max,59323,481.464,434.0024,
now_Truck_20_LP_40_50_10_12rep.csv,Max,55479,501.136,435.968,
prev_Truck_20_LP_0_0_100_13rep.csv,Min,59400,410.704,378.9312,
now_Truck_20_LP_0_0_100_13rep.csv,Min,59800,413.16,372.0732,
prev_Truck_20_LP_40_50_10_13rep.csv,Min,33564,407.376,378.2104,
now_Truck_20_LP_40_50_10_13rep.csv,Min,29441,415.96,371.942,
prev_Truck_20_LP_0_0_100_13rep.csv,Middle,97400,449.856,415.5216,
now_Truck_20_LP_0_0_100_13rep.csv,Middle,101000,476.568,425.9628,
prev_Truck_20_LP_40_50_10_13rep.csv,Middle,52352,460.016,413.7524,
now_Truck_20_LP_40_50_10_13rep.csv,Middle,52349,476.496,419.0344,
prev_Truck_20_LP_0_0_100_13rep.csv,Max,115600,482.528,442.1704,
now_Truck_20_LP_0_0_100_13rep.csv,Max,119600,491.968,442.0976,
prev_Truck_20_LP_40_50_10_13rep.csv,Max,62202,483.504,433.3884,
now_Truck_20_LP_40_50_10_13rep.csv,Max,60155,505.528,444.6548,
prev_Truck_20_LP_0_0_100_14rep.csv,Min,61800,448.104,387.3148,
now_Truck_20_LP_0_0_100_14rep.csv,Min,58600,428.44,375.8276,
