Filename,Type,Objective_value,C_max
prev_Truck_20_LP_40_50_10_13rep.csv, Min,33564,
now_Truck_20_LP_40_50_10_13rep.csv, Min,29441,
prev_Truck_20_LP_0_0_100_13rep.csv, Middle,97400,
now_Truck_20_LP_0_0_100_13rep.csv, Middle,101000,
prev_Truck_20_LP_40_50_10_13rep.csv, Middle,52352,
now_Truck_20_LP_40_50_10_13rep.csv, Middle,52349,
prev_Truck_20_LP_0_0_100_13rep.csv, Max,115600,
now_Truck_20_LP_0_0_100_13rep.csv, Max,119600,
prev_Truck_20_LP_40_50_10_13rep.csv, Max,62202,
now_Truck_20_LP_40_50_10_13rep.csv, Max,60155,
prev_Truck_20_LP_0_0_100_14rep.csv, Min,61800,
now_Truck_20_LP_0_0_100_14rep.csv, Min,58600,
prev_Truck_20_LP_40_50_10_14rep.csv, Min,34276,
now_Truck_20_LP_40_50_10_14rep.csv, Min,31557,
prev_Truck_20_LP_0_0_100_14rep.csv, Middle,103200,
now_Truck_20_LP_0_0_100_14rep.csv, Middle,99400,
prev_Truck_20_LP_40_50_10_14rep.csv, Middle,52469,
now_Truck_20_LP_40_50_10_14rep.csv, Middle,48747,
prev_Truck_20_LP_0_0_100_14rep.csv, Max,119000,
now_Truck_20_LP_0_0_100_14rep.csv, Max,111600,
prev_Truck_20_LP_40_50_10_14rep.csv, Max,61280,
now_Truck_20_LP_40_50_10_14rep.csv, Max,52190,
prev_Truck_20_LP_0_0_100_15rep.csv, Min,54200,
now_Truck_20_LP_0_0_100_15rep.csv, Min,67000,
prev_Truck_20_LP_40_50_10_15rep.csv, Min,29711,
now_Truck_20_LP_40_50_10_15rep.csv, Min,33683,
prev_Truck_20_LP_0_0_100_15rep.csv, Middle,89400,
now_Truck_20_LP_0_0_100_15rep.csv, Middle,99800,
prev_Truck_20_LP_40_50_10_15rep.csv, Middle,46750,
now_Truck_20_LP_40_50_10_15rep.csv, Middle,51110,
prev_Truck_20_LP_0_0_100_15rep.csv, Max,105400,
now_Truck_20_LP_0_0_100_15rep.csv, Max,117000,
prev_Truck_20_LP_40_50_10_15rep.csv, Max,54374,
now_Truck_20_LP_40_50_10_15rep.csv, Max,58633,
prev_Truck_20_LP_0_0_100_16rep.csv, Min,55200,
now_Truck_20_LP_0_0_100_16rep.csv, Min,51200,
prev_Truck_20_LP_40_50_10_16rep.csv, Min,31623,
now_Truck_20_LP_40_50_10_16rep.csv, Min,25219,
