File_name,Type,Objective_value,C_max,C_avg
prev_Truck_20_LP_40_50_10_16rep.csv,Middle,38565,452.08,406.7612
now_Truck_20_LP_40_50_10_16rep.csv,Middle,36283,449.832,415.9856000000001
prev_Truck_20_LP_40_50_10_16rep.csv,Max,46068,475.96,428.9204
now_Truck_20_LP_40_50_10_16rep.csv,Max,41266,496.568,428.034
prev_Truck_20_LP_40_50_10_17rep.csv,Min,22542,421.4,371.3972
now_Truck_20_LP_40_50_10_17rep.csv,Min,20226,413.912,375.63199999999995
prev_Truck_20_LP_40_50_10_17rep.csv,Middle,38222,463.296,414.7268
now_Truck_20_LP_40_50_10_17rep.csv,Middle,34186,476.336,407.3004
prev_Truck_20_LP_40_50_10_17rep.csv,Max,45536,493.896,433.0227999999999
now_Truck_20_LP_40_50_10_17rep.csv,Max,39794,500.896,419.2416
prev_Truck_20_LP_40_50_10_18rep.csv,Min,26078,458.384,389.9968
now_Truck_20_LP_40_50_10_18rep.csv,Min,24013,441.304,387.57599999999996
prev_Truck_20_LP_40_50_10_18rep.csv,Middle,36127,465.872,408.32640000000004
now_Truck_20_LP_40_50_10_18rep.csv,Middle,39791,487.616,426.10599999999994
prev_Truck_20_LP_40_50_10_18rep.csv,Max,41630,495.304,432.108
now_Truck_20_LP_40_50_10_18rep.csv,Max,47978,564.904,453.0004
prev_Truck_20_LP_40_50_10_19rep.csv,Min,27298,460.344,394.1612
now_Truck_20_LP_40_50_10_19rep.csv,Min,22102,416.168,378.1744
prev_Truck_20_LP_40_50_10_19rep.csv,Middle,40355,468.272,428.2252
now_Truck_20_LP_40_50_10_19rep.csv,Middle,36331,465.0,410.97079999999994
prev_Truck_20_LP_40_50_10_19rep.csv,Max,47710,513.36,445.29119999999995
now_Truck_20_LP_40_50_10_19rep.csv,Max,44835,485.36,426.4808000000001
prev_Truck_20_LP_40_50_10_20rep.csv,Min,23865,432.312,387.2916
now_Truck_20_LP_40_50_10_20rep.csv,Min,19611,420.544,368.84799999999996
prev_Truck_20_LP_40_50_10_20rep.csv,Middle,37708,455.968,417.8795999999999
now_Truck_20_LP_40_50_10_20rep.csv,Middle,33296,461.824,410.1504
prev_Truck_20_LP_40_50_10_20rep.csv,Max,43890,510.808,428.8944
now_Truck_20_LP_40_50_10_20rep.csv,Max,41181,507.488,422.3872
