Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-1,Route-1,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,340.168,-0.02656808,2.677867,7.016,28.264,,,427.544,443.448,443.448,0.2433224,0.4935143,0.3797907
Truck-0,Route-0,(425.0 0.0 194.5),(625.0 0.0 100.0),355.6017,354.528,-0.01931055,2.370783,16.232,33.328
Truck-15,Route-15,(675.0 0.0 105.5),(375.0 0.0 0.0),377.1078,398.44,0.2766535,2.812572,42.464,44.888
Truck-9,Route-9,(425.0 0.0 -5.5),(125.0 0.0 50.0),391.4453,400.616,0.1002867,2.339907,38.448,54.248
Truck-10,Route-10,(425.0 0.0 55.5),(125.0 0.0 100.0),373.5235,401.496,0.3804572,3.075636,48.32,39.104
Truck-23,Route-23,(675.0 0.0 155.5),(375.0 0.0 50.0),369.9391,405.096,0.5026785,3.390194,34.488,44.672
Truck-14,Route-14,(175.0 0.0 155.5),(375.0 0.0 100.0),384.2766,405.52,0.2520682,2.705641,30.432,70.296
Truck-7,Route-7,(425.0 0.0 105.5),(625.0 0.0 150.0),384.2766,408.832,0.2913675,2.790564,40.056,57.912
Truck-12,Route-12,(675.0 0.0 -5.5),(625.0 0.0 0.0),377.1078,411.92,0.4514737,3.197715,36.744,43.176
Truck-17,Route-17,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,415.672,0.4334966,3.12627,9.616,101.152
Truck-22,Route-22,(675.0 0.0 -5.5),(375.0 0.0 50.0),373.5235,417.2,0.594049,3.551516,40.48,41.712
Truck-13,Route-13,(175.0 0.0 55.5),(375.0 0.0 100.0),391.4453,422.032,0.3344817,2.837954,41.376,69.776
Truck-2,Route-2,(175.0 0.0 105.5),(625.0 0.0 150.0),402.1983,427.544,0.2480051,2.602939,37.928,78.856
Truck-122,Route-122,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,342.984,0.04167514,2.865601,9.96,28.184
Truck-109,Route-109,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,346.872,0.135897,3.124801,7.464,34.464
Truck-127,Route-127,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,350.624,0.1287737,2.977882,12.88,32.816
Truck-110,Route-110,(175.0 0.0 55.5),(125.0 0.0 200.0),348.433,354.112,0.1172544,2.848,7.464,41.688
Truck-104,Route-104,(675.0 0.0 5.5),(625.0 0.0 200.0),352.0174,356.832,0.09255825,2.706286,7.472,44.48
Truck-105,Route-105,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,360.928,0.2579851,3.206737,7.472,48.456
Truck-125,Route-125,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,362.776,0.5213146,4.185067,10.232,47.624
Truck-120,Route-120,(425.0 0.0 205.5),(125.0 0.0 100.0),344.8487,363.4,0.4136429,3.729411,10.24,42.264
Truck-117,Route-117,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,371.632,0.4789909,3.770105,10.232,56.48
Truck-119,Route-119,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,373.104,0.7716036,4.8736,10.224,58.072
Truck-103,Route-103,(675.0 0.0 205.5),(125.0 0.0 150.0),359.1861,374.984,0.26692,2.99936,7.48,62.504
Truck-114,Route-114,(175.0 0.0 205.5),(375.0 0.0 150.0),359.1861,379.096,0.3363958,3.16384,7.456,66.68
Truck-118,Route-118,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,381,0.5571723,3.857143,7.456,68.704
Truck-129,Route-129,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,382.256,0.8340794,4.838589,10.224,67.12
Truck-123,Route-123,(175.0 0.0 194.5),(125.0 0.0 0.0),362.7704,384.752,0.3501904,3.138963,16.864,59.816
Truck-113,Route-113,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,387.432,0.3928856,3.238222,7.456,74.984
Truck-102,Route-102,(425.0 0.0 205.5),(375.0 0.0 100.0),344.8487,388.512,0.9735704,5.206588,7.48,76.096
Truck-126,Route-126,(175.0 0.0 -5.5),(125.0 0.0 200.0),362.7704,391.432,0.4566098,3.386371,16.864,69.52
Truck-121,Route-121,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,391.464,0.8884637,4.813894,9.976,76.504
Truck-106,Route-106,(175.0 0.0 105.5),(125.0 0.0 150.0),366.3548,405.912,0.5961474,3.652138,50.24,47.84
Truck-112,Route-112,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,406.52,0.6969776,3.945185,7.464,94.184
Truck-111,Route-111,(425.0 0.0 155.5),(625.0 0.0 50.0),387.8609,410.84,0.2615395,2.703414,33.152,72.68
Truck-101,Route-101,(425.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,411.688,0.3841237,3.018594,17.336,89.328
Truck-128,Route-128,(425.0 0.0 105.5),(125.0 0.0 200.0),377.1078,417.24,0.5204676,3.349714,41.352,70.952
Truck-116,Route-116,(675.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,417.44,0.8709451,4.34963,31.808,80.656
Truck-107,Route-107,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,419.36,0.5479615,3.410285,7.472,106.92
Truck-108,Route-108,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,425.992,0.8014526,4.064258,7.464,113.592
Truck-115,Route-115,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,430.952,0.5538367,3.357744,10.224,115.8
Truck-100,Route-100,(675.0 0.0 55.5),(375.0 0.0 200.0),373.5235,436.304,0.853884,4.130424,32.376,98.992
Truck-124,Route-124,(175.0 0.0 155.5),(375.0 0.0 100.0),384.2766,443.448,0.7021105,3.678154,35.824,99.632
