Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-4,Route-4,(675.0 0.0 205.5),(625.0 0.0 50.0),348.433,354.28,0.1207231,2.856842,6.928,42.312,,,418.936,435,435,0.1726097,0.1304132,0.1491673
Truck-6,Route-6,(425.0 0.0 205.5),(125.0 0.0 50.0),348.433,354.28,0.1207231,2.856842,6.92,42.312
Truck-124,Route-124,(675.0 0.0 155.5),(625.0 0.0 100.0),366.3548,376.576,0.154039,2.640551,38.296,33.368
Truck-110,Route-110,(675.0 0.0 -5.5),(125.0 0.0 150.0),384.2766,384.304,0.000325539,2.161641,36.488,42.784
Truck-117,Route-117,(425.0 0.0 105.5),(375.0 0.0 0.0),377.1078,388.256,0.1445788,2.5216,41.624,41.664
Truck-112,Route-112,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,390.72,0.3671964,3.128276,7.384,78.4
Truck-115,Route-115,(425.0 0.0 155.5),(625.0 0.0 150.0),380.6922,392.8,0.150049,2.508108,37.488,50.352
Truck-106,Route-106,(425.0 0.0 -5.5),(625.0 0.0 200.0),380.6922,395.768,0.186831,2.588325,30.016,60.776
Truck-123,Route-123,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,400.784,0.1958724,2.584205,9.976,85.912
Truck-118,Route-118,(425.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,401.144,0.2534547,2.733622,23.68,72.416
Truck-121,Route-121,(675.0 0.0 105.5),(125.0 0.0 0.0),395.0296,415.192,0.2121695,2.559822,42.408,67.928
Truck-122,Route-122,(175.0 0.0 155.5),(625.0 0.0 50.0),405.7827,415.184,0.08887409,2.25851,36.488,73.744
Truck-116,Route-116,(175.0 0.0 105.5),(625.0 0.0 150.0),402.1983,435,0.3209613,2.755102,51.968,78.056
