Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-5,Route-5,(675.0 0.0 205.5),(125.0 0.0 150.0),359.1861,357.384,-0.03044742,2.29536,7.016,45.352,,,436.336,439.44,439.44,0.4088153,0.1998642,0.2927313
Truck-14,Route-14,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,363.992,0.2302047,3.047238,7,52.096
Truck-102,Route-102,(175.0 0.0 -5.5),(125.0 0.0 200.0),362.7704,380.264,0.2786916,2.972741,16.984,58.376
Truck-111,Route-111,(175.0 0.0 55.5),(125.0 0.0 100.0),373.5235,385.64,0.1647983,2.595152,42.264,35.312
Truck-101,Route-101,(175.0 0.0 105.5),(125.0 0.0 0.0),377.1078,385.872,0.1136611,2.453486,36.008,44.952
Truck-117,Route-117,(425.0 0.0 155.5),(375.0 0.0 50.0),369.9391,388.28,0.2622407,2.847742,37.592,42.888
Truck-120,Route-120,(675.0 0.0 105.5),(625.0 0.0 100.0),369.9391,388.856,0.2704763,2.866322,47.912,33
Truck-108,Route-108,(425.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,390.656,0.1234792,2.450162,16.96,68.808
Truck-106,Route-106,(425.0 0.0 194.5),(125.0 0.0 0.0),380.6922,394.44,0.1703734,2.552433,16.968,72.56
Truck-123,Route-123,(425.0 0.0 55.5),(375.0 0.0 200.0),373.5235,399.576,0.3543429,3.017454,36.904,57.728
Truck-116,Route-116,(425.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,406.976,0.3257293,2.891244,21.688,77.368
Truck-105,Route-105,(675.0 0.0 -5.5),(125.0 0.0 150.0),384.2766,408.232,0.2842481,2.775179,37.6,50.624
Truck-115,Route-115,(675.0 0.0 155.5),(125.0 0.0 100.0),384.2766,410.408,0.3100677,2.830974,38.24,61.296
Truck-124,Route-124,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,410.816,0.3149092,2.841436,9.92,96.04
Truck-118,Route-118,(175.0 0.0 105.5),(625.0 0.0 50.0),409.367,439.44,0.2749732,2.630944,39.832,85.592
